Workshop Name,PoleStudio,Workshop Seite Eversports,Version
Aerial Yoga | Alle Level (120 Min.) 49€ p.P.,aerialflow,https://www.eversports.de/e/workshop/L4J3LvFS-,2023-04-18 15:05:10
Teens Circus | Luftakrobatik für Teenies 35€ p.P.,aerialflow,https://www.eversports.de/e/workshop/2Z7k2Uxjh,2023-04-18 15:05:10
"Exotic Pole Choreo | Externer Beginner Workshop by ""Alexandra Po"" 45€",aerialflow,https://www.eversports.de/e/workshop/ocz15aUrk,2023-04-18 15:05:10
