Workshop Name,PoleStudio,Workshop Seite Eversports,Version
Silk Mini Choreo (Beg./Int.),AIRobics,https://www.eversports.de/e/workshop/QaE6rQp4-,2023-05-07 20:58:48
Elegant Pole Combo (Beginners),AIRobics,https://www.eversports.de/e/workshop/5D4VyOGRg,2023-05-07 20:58:48
Musical Dance (All Levels),AIRobics,https://www.eversports.de/e/workshop/N5How40JW,2023-05-07 20:58:48
Pole Power Tricks (Int./Adv.),AIRobics,https://www.eversports.de/e/workshop/9W9Yd45l6,2023-05-07 20:58:48
Sexy Pole Choreo (All Levels),AIRobics,https://www.eversports.de/e/workshop/ecWLvxCKA,2023-05-07 20:58:48
Aerial Yoga & Stretch (All Levels),AIRobics,https://www.eversports.de/e/workshop/4NzxSWm-T,2023-05-07 20:58:48
Energetic Pole Combo (Intermediate),AIRobics,https://www.eversports.de/e/workshop/KIrKTpz2H,2023-05-07 20:58:48
Front- & Middlesplit Stretching (All Levels),AIRobics,https://www.eversports.de/e/workshop/jx8bzqdYN,2023-05-07 20:58:48
Silk Mini Drops & Saltos (Intermediate),AIRobics,https://www.eversports.de/e/workshop/D8oZq31LB,2023-05-07 20:58:48
Urban Dance (All Levels),AIRobics,https://www.eversports.de/e/workshop/4ZryDf5g3,2023-05-07 20:58:48
Dynamic Static Pole (Int./Adv.),AIRobics,https://www.eversports.de/e/workshop/tGmtMUawU,2023-05-07 20:58:48
Backbend Stretching (All Levels),AIRobics,https://www.eversports.de/e/workshop/OXSt71Hbq,2023-05-07 20:58:48
Sexy Hoop Choreo (Beginners),AIRobics,https://www.eversports.de/e/workshop/1mFu5XyHi,2023-05-07 20:58:48
Double Trouble: Pole & Hoop Doubles (All Levels),AIRobics,https://www.eversports.de/e/workshop/qBTTLinaz,2023-05-07 20:58:48
Impressive Pole Handstands (All Levels),AIRobics,https://www.eversports.de/e/workshop/2cf1FMtZ-,2023-05-07 20:58:48
Hammock Mini Choreo (Beginners),AIRobics,https://www.eversports.de/e/workshop/f3gqricJC,2023-05-07 20:58:48
Power Hoop & Drops (Intermediate),AIRobics,https://www.eversports.de/e/workshop/sUS-p7fpT,2023-05-07 20:58:48
Stunning Pole (Fake) Splits (Beg./Int.),AIRobics,https://www.eversports.de/e/workshop/Tdt3RvbyV,2023-05-07 20:58:48
Pole Mini Choreo (Beginners),AIRobics,https://www.eversports.de/e/workshop/lD4asREMG,2023-05-07 20:58:48
"Pole Handspring, Pegasus & Flips (Int./Adv.)",AIRobics,https://www.eversports.de/e/workshop/ZpTaIytyi,2023-05-07 20:58:48
Twerkshop by Sophia in Saarbrücken,Aerial,https://www.eversports.de/e/workshop/zrkq_Im5o,2023-05-07 20:58:48
Zusatztermin: Twerkshop by Sophia in Saarbrücken,Aerial,https://www.eversports.de/e/workshop/bGEDyXMW4,2023-05-07 20:58:48
Fusion Dance Workshop mit Elena Loch,Aerial,https://www.eversports.de/e/workshop/erk8O3C53,2023-05-07 20:58:48
Burlesque Sommer-Workshop: Be a Pin-Up Summer Queen! - in Quierschied,Aerial,https://www.eversports.de/e/workshop/ldKcgdQXu,2023-05-07 20:58:48
Workshop: Aerial Yin Yoga (alle Level),Aerial,https://www.eversports.de/e/workshop/ALi2zs13Z,2023-05-07 20:58:49
Workshop: Invert Step by Step (Part I),Aerial,https://www.eversports.de/e/workshop/nZbRhgMk2,2023-05-07 20:58:49
AERIAL FUN mit dem Tuch I ab 10 Jahre ,BALANCE,https://www.eversports.de/e/workshop/-NFd3-_2E,2023-05-07 20:58:49
POLE HANDSPRINGS & Vorbereitung ,BALANCE,https://www.eversports.de/e/workshop/AMs-fuA_f,2023-05-07 20:58:49
WORKSHOP Splits around & up the Pole - intermediate Level,Body,https://www.eversports.de/e/workshop/UtfY_Qc2y,2023-05-07 20:58:49
WORKSHOP Splits around & up the pole - intermediate/advanced Level,Body,https://www.eversports.de/e/workshop/Nvi9yQbsm,2023-05-07 20:58:49
WORKSHOP Splits on Pole - intermediate Level,Body,https://www.eversports.de/e/workshop/T54FU0AiJ,2023-05-07 20:58:49
WORKSHOP Flow Nice & Low - Choreo,Body,https://www.eversports.de/e/workshop/45UMmjF2w,2023-05-07 20:58:49
