City,Business Name,Image Source,Rating,Number of Reviews,Categories,Address,Eversports URL
Altensteig,ST Polestudio,/_next/image?url=%2Fimages%2Fplaceholder-image.webp&w=3840&q=75,4.7,11,[],"Walkmühleweg 47, 75365 Calw",https://www.eversports.de/l/poledance/Altensteig
Alzenau,Vertical - Pole Aerial Dance,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F6cf9e58c-cdde-4545-93da-95ff39860a90%2Flr0a2307a-signaturjpg-medium.webp&w=3840&q=75,5.0,26,['1 Angebot für Neukund:innen'],"Mühlstraße 100, 63741 Aschaffenburg",https://www.eversports.de/l/poledance/Alzenau
Andernach,Polefamily-Koblenz,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Fd18b8ba6-2a87-45d9-84b2-0a331bc8731e%2Fimage1jpeg-medium.webp&w=3840&q=75,5.0,20,[],"Löhrstraße 48 , 56068 Koblenz",https://www.eversports.de/l/poledance/Andernach
Aschaffenburg,Vertical - Pole Aerial Dance,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F6cf9e58c-cdde-4545-93da-95ff39860a90%2Flr0a2307a-signaturjpg-medium.webp&w=3840&q=75,5.0,26,['1 Angebot für Neukund:innen'],"Mühlstraße 100, 63741 Aschaffenburg",https://www.eversports.de/l/poledance/Aschaffenburg
Augsburg,Pole Plus,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Ff8b9581d-04c2-40ef-95d8-5a121ec4b153%2Fpole_plus_basic_butterflyjpg-medium.webp&w=3840&q=75,4.9,5,['1 Angebot für Neukund:innen'],"Ulmer Straße 152 , 86156 Augsburg",https://www.eversports.de/l/poledance/Augsburg
Augsburg,Pole Circus A + K,/_next/image?url=%2Fimages%2Fplaceholder-image.webp&w=3840&q=75,5.0,21,[],"Rehmstraße , 86161 Augsburg",https://www.eversports.de/l/poledance/Augsburg
Augsburg,Polefly Academy,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F3fe56e2b-bd59-44bc-b551-5d6a5f6ab459%2Fteamjpg-medium.webp&w=3840&q=75,5.0,2,[],"Bürgermeister-Wegele-Straße 6A , 86167 Augsburg",https://www.eversports.de/l/poledance/Augsburg
Babenhausen,Vertical - Pole Aerial Dance,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F6cf9e58c-cdde-4545-93da-95ff39860a90%2Flr0a2307a-signaturjpg-medium.webp&w=3840&q=75,5.0,26,['1 Angebot für Neukund:innen'],"Mühlstraße 100, 63741 Aschaffenburg",https://www.eversports.de/l/poledance/Babenhausen
Bacharach,Pole Oase,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F6debfbac-5718-47a9-ad52-8289481f7569%2Fimg_20180321_172157jpg-medium.webp&w=3840&q=75,5.0,16,['5 Angebote für Neukund:innen'],"Kleine Grabenstraße 1, 65385 Rüdesheim am Rhein",https://www.eversports.de/l/poledance/Bacharach
Baesweiler,poda Studio,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Fb5fbdb8d-cc1e-44ab-872b-d0b211cc9007%2Fd-img_2188-6jpg-medium.webp&w=3840&q=75,4.9,51,['1 Angebot für Neukund:innen'],"Martinstraße 10-12, 52062 Aachen",https://www.eversports.de/l/poledance/Baesweiler
Baesweiler,Pura Studio,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F0aed1787-d224-4868-b032-4f0a1ffc8ff2%2Fphoto-2021-12-12-11-50-04jpg-medium.webp&w=3840&q=75,5.0,67,['1 Angebot für Neukund:innen'],"Schaufenberger Straße 61 , 52477 Alsdorf",https://www.eversports.de/l/poledance/Baesweiler
Baiersdorf,POLE LOFT,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Fbf75a970-fe0a-400a-ba69-a35bd5595ba6%2Fl_logo-pole-loftjpg-medium.webp&w=3840&q=75,4.9,25,['1 Angebot für Neukund:innen'],"Daimlerstraße 8 , 91301 Forchheim",https://www.eversports.de/l/poledance/Baiersdorf
Baiersdorf,POLE HEROES,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Fe5ed9769-85df-431b-8f0a-671a61bcde60%2Flogo1_lightpinkpng-medium.webp&w=3840&q=75,4.9,56,['5 Angebote für Neukund:innen'],"Karl-Zucker-Straße 7-9 , 91052 Erlangen",https://www.eversports.de/l/poledance/Baiersdorf
Bargteheide,CSS AERIAL DANCE STUDIO,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F7cfd8c7a-0691-4528-98af-82551de5588c%2Ffront-split-2jpg-medium.webp&w=3840&q=75,4.8,49,[],"Hummelsbütteler Steindamm , 22851 Hamburg",https://www.eversports.de/l/poledance/Bargteheide
Barmstedt,Anni's Pole-Dance Uetersen,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F7c6bb92c-bad6-4ad7-b100-9905421f30c5%2Fimage00003jpeg-medium.webp&w=3840&q=75,5.0,16,[],"Pracherdamm 8 , 25436 Uetersen",https://www.eversports.de/l/poledance/Barmstedt
Bendorf,Polefamily-Koblenz,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Fd18b8ba6-2a87-45d9-84b2-0a331bc8731e%2Fimage1jpeg-medium.webp&w=3840&q=75,5.0,20,[],"Löhrstraße 48 , 56068 Koblenz",https://www.eversports.de/l/poledance/Bendorf
Bensheim,Center of Moving Arts,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Fb8aaa043-16a2-4948-b545-0df8fc0332ed%2Fimg_1649jpg-medium.webp&w=3840&q=75,4.9,19,"['Kostenlos Schnuppern', '1 Angebot für Neukund:innen']","Fabrikstraße 21 , 64625 Bensheim",https://www.eversports.de/l/poledance/Bensheim
Berlin,Schönheitstanz Studio,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Fa006ebd7-6e7c-484e-a854-38c78fb2f26a%2Flogo-agata-2-rjpg-medium.webp&w=3840&q=75,5.0,36,['1 Angebot für Neukund:innen'],"Charitestraße 4, 10117 Berlin",https://www.eversports.de/l/poledance/Berlin
Berlin,IMA Intentional Movement Academy,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F0e036389-86f7-47f6-9c40-62a6b495085b%2Fpreise-aerialjpg-medium.webp&w=3840&q=75,5.0,6,['4 Angebote für Neukund:innen'],"Prenzlauer Promenade 189 , 13189 Berlin",https://www.eversports.de/l/poledance/Berlin
Berlin,YH Pole (and) Sports Berlin,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Fa7741e1d-20d1-42d2-b273-e7f48fe27d31%2F20190123_160411jpg-medium.webp&w=3840&q=75,5.0,36,[],"Erkelenzdamm 59 , 10999 Berlin",https://www.eversports.de/l/poledance/Berlin
Berlin,YOGA at Lobe Block,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Fa97360c2-cb47-452c-8ba7-ad1c92a271b2%2F6d3ee569-49b6-449a-aaf7-4327f505bb19-3cd43197-dcf0-46e4-93cd-a08206db23edjpg-medium.webp&w=3840&q=75,4.8,127,[],"Böttgerstraße 16 , 13357 Berlin",https://www.eversports.de/l/poledance/Berlin
Besigheim,Aerial Loft,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Fad3c1e6e-a9e2-439e-b242-202a070c95b0%2Fweb-148jpg-medium.webp&w=3840&q=75,4.9,59,['1 Angebot für Neukund:innen'],"Solitudestraße 48 , 71638 Ludwigsburg",https://www.eversports.de/l/poledance/Besigheim
Bexbach,Pole Werk by Nelly,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F427faae0-19ef-4c27-9d52-44cb08f72a38%2Fimg_5666jpg-medium.webp&w=3840&q=75,5.0,27,[],"Kleinottweilerstraße 75 , 66450 Bexbach",https://www.eversports.de/l/poledance/Bexbach
Bexbach,Pole Arts,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Fe45849a1-27fa-435d-bed6-51b8d2a6f654%2F6ca22531-a7bb-498d-93f0-b70e2eb29454jpeg-medium.webp&w=3840&q=75,5.0,31,['4 Angebote für Neukund:innen'],"Bexbacher Straße 8 , 66540 Neunkirchen",https://www.eversports.de/l/poledance/Bexbach
Bietigheim-bissingen,Aerial Loft,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Fad3c1e6e-a9e2-439e-b242-202a070c95b0%2Fweb-148jpg-medium.webp&w=3840&q=75,4.9,59,['1 Angebot für Neukund:innen'],"Solitudestraße 48 , 71638 Ludwigsburg",https://www.eversports.de/l/poledance/Bietigheim-Bissingen
