Workshop Name,PoleStudio,Workshop Seite Eversports,Eversports Page,Version
Pole meets dance mit Anna,Pura,https://www.eversports.de/e/workshop/JruCmByb8,https://www.eversports.de/sw/pura-studio,2023-05-05 17:54:25
Rücken Fit mit dem Spinefitter,Pura,https://www.eversports.de/e/workshop/omTezbcR2,https://www.eversports.de/sw/pura-studio,2023-05-05 17:54:25
 Hoop Flow,Pura,https://www.eversports.de/e/workshop/uJKzjpYv8,https://www.eversports.de/sw/pura-studio,2023-05-05 17:54:25
Rücken Fit mit dem Spinefitter,Pura,https://www.eversports.de/e/workshop/CbHcdoEKz,https://www.eversports.de/sw/pura-studio,2023-05-05 17:54:25
Pole meets dance mit Anna,Pura,https://www.eversports.de/e/workshop/b8-Dnxtb2,https://www.eversports.de/sw/pura-studio,2023-05-05 17:54:25
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/x1w0Mq3Y7,https://www.eversports.de/sw/poda-studio,2023-05-05 17:54:26
Pole Dance Probestunde *Poda Birthday Special* Free,poda,https://www.eversports.de/e/workshop/xFwPArnAH,https://www.eversports.de/sw/poda-studio,2023-05-05 17:54:26
Pole Fitness *Poda Birthday Special* Free,poda,https://www.eversports.de/e/workshop/Sh6fqaIks,https://www.eversports.de/sw/poda-studio,2023-05-05 17:54:26
Twerk & Chair *Poda Birthday Special* Free,poda,https://www.eversports.de/e/workshop/feME-_7tG,https://www.eversports.de/sw/poda-studio,2023-05-05 17:54:26
Hard Style Exotic Pole Workshop,poda,https://www.eversports.de/e/workshop/dCR2PVd05,https://www.eversports.de/sw/poda-studio,2023-05-05 17:54:26
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/nb8_WV2wH,https://www.eversports.de/sw/poda-studio,2023-05-05 17:54:26
*Fortsetzung folgt...* Lady Marmalade Chair Dance Workshop,poda,https://www.eversports.de/e/workshop/cDPxswQQp,https://www.eversports.de/sw/poda-studio,2023-05-05 17:54:26
*Fortsetzung folgt...* Azzlack Stereotyp 2 - Exotic Pole Workshop,poda,https://www.eversports.de/e/workshop/xo_EQbOQn,https://www.eversports.de/sw/poda-studio,2023-05-05 17:54:26
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/HGkpQ9uAJ,https://www.eversports.de/sw/poda-studio,2023-05-05 17:54:26
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/Bz5neTPTa,https://www.eversports.de/sw/poda-studio,2023-05-05 17:54:26
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/3zdELX6G_,https://www.eversports.de/sw/poda-studio,2023-05-05 17:54:26
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/tUZ-pbNF0,https://www.eversports.de/sw/poda-studio,2023-05-05 17:54:26
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/5u5RfrpDC,https://www.eversports.de/sw/poda-studio,2023-05-05 17:54:26
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/RPiNq9mm6,https://www.eversports.de/sw/poda-studio,2023-05-05 17:54:26
Flexibility- Front Split Shapes,Vertical,https://www.eversports.de/e/workshop/dAe0W63bv,https://www.eversports.de/sw/vertical-pole-aerial-dance-1,2023-05-05 17:54:26
Contemporary Poledance,Vertical,https://www.eversports.de/e/workshop/ne2NieW5G,https://www.eversports.de/sw/vertical-pole-aerial-dance-1,2023-05-05 17:54:26
Fotoshooting Posen,Vertical,https://www.eversports.de/e/workshop/Ir-2Ui5rR,https://www.eversports.de/sw/vertical-pole-aerial-dance-1,2023-05-05 17:54:26
Aerial Weekend,Center,https://www.eversports.de/e/workshop/Z00aWKDcZ,https://www.eversports.de/sw/center-of-moving-arts,2023-05-05 17:54:27
Pole Dance Anfänger 1 Kurs (zweistündig),Schönheitstanz,https://www.eversports.de/e/workshop/zzwLI00jg,https://www.eversports.de/sw/schoenheitstanz-studio,2023-05-05 17:54:28
Pole Dance Anfänger 1 Kurs ,Schönheitstanz,https://www.eversports.de/e/workshop/HUorJFjfx,https://www.eversports.de/sw/schoenheitstanz-studio,2023-05-05 17:54:28
Burlesque Anfängerworkshop mit Lady Lou ( Zweistündig ),Schönheitstanz,https://www.eversports.de/e/workshop/FHCKYUiH4,https://www.eversports.de/sw/schoenheitstanz-studio,2023-05-05 17:54:28
Burlesque Anfängerworkshop mit Lady Lou,Schönheitstanz,https://www.eversports.de/e/workshop/3NL5wOMYS,https://www.eversports.de/sw/schoenheitstanz-studio,2023-05-05 17:54:28
