Workshop Name,Workshop Seite Eversports,PoleStudio,Version
Aerial Yoga | Alle Level (120 Min.) 49€ p.P.,https://www.eversports.de/e/workshop/L4J3LvFS-,/e/workshop/L4J3LvFS-,2023-04-18 00:44:55
Teens Circus | Luftakrobatik für Teenies 35€ p.P.,https://www.eversports.de/e/workshop/2Z7k2Uxjh,/e/workshop/2Z7k2Uxjh,2023-04-18 00:44:55
"Exotic Pole Choreo | Externer Beginner Workshop by ""Alexandra Po"" 45€",https://www.eversports.de/e/workshop/ocz15aUrk,/e/workshop/ocz15aUrk,2023-04-18 00:44:55
